idioma,token
en,named
en,cross
en,along
en,portuguese
en,by
en,his
en,eastern
en,he
en,western
en,epic
en,the
en,bay
en,of
en,rich
en,seeing
en,landed
en,walfisch
en,he
en,dia
en,point
en,king
en,voyage
en,in
en,coast
en,cao
en,south
en,a
en,this
en,luis
en,africa
en,and
en,camoes'
en,point
en,return
en,africa
en,his
en,bay
en,up
en,storm
en,north
en,may
en,first
en,bartolomeu
en,what
en,he
en,the
en,diogo
en,called
en,the
en,of
en,cape
en,the
en,to
en,esperanca
en,named
en,first
en,rio
en,probably
en,africa
en,january
en,of
en,believe
en,zulu
en,created
en,communication
en,belief
en,the
en,christianity
en,the
en,from
en,that
en,predominately
en,in
en,the
en,million
en,
en,of
en,take
en,a
en,combined
en,clan
en,in
en,nation
en,africa
en,community
en,the
en,or
en,their
en,a
en,a
en,the
en,zulu
en,ceremony
en,syncretic
en,the
en,in
en,with
en,took
en,living
en,the
en,a
en,the
en,skill
en,beadwork
en,part
en,different
en,society
en,are
en,of
en,a
en,amazulu
en,system
en,also
en,zulu
en,the
en,both
en,reed
en,zulu's
en,zulu
en,in
en,the
en,originated
en,and
en,brought
en,the
en,the
en,south
en,province
en,policy
en,people
en,of
en,with
en,function
en,the
en,identification
en,to
en,the
en,event
en,umhlanga
en,purely
en,celebrate
en,worn
en,and
en,the
en,is
en,also
en,to
en,to
en,are
en,established
en,to
en,his
en,discus
en,relationship
en,beadwork
en,on
en,of
en,of
en,dance
en,traditional
en,the
en,in
en,and
en,the
en,purpose
en,the
en,nation
en,
en,event
en,the
en,dance
en,of
en,the
en,the
en,at
en,men
en,wa
en,young
en,pride
en,the
en,umhlanga
en,woman
en,time
en,sexual
en,an
en,but
en,political
en,that
en,speak
en,by
en,attire
en,people
en,the
en,guest
en,called
en,a
en,in
en,the
en,woman
en,inflicting
en,all
en,the
en,time
en,well
en,umhlanga
en,arising
en,not
en,at
en,king
en,worn
en,ceremony
en,in
en,were
en,the
en,organisation
en,during
en,anc
en,the
en,force
en,national
en,a
en,the
en,anc
en,the
en,thorn
en,s
en,to
en,
en,sdus
en,in
en,non
en,violence
en,other
en,and
en,favoured
en,each
en,s
en,the
en,self
en,protection
en,inkatha
en,of
en,two
en,inkatha
en,time
en,the
en,of
en,africanist
en,the
en,force
en,clear
en,initially
en,inkatha
en,through
en,unit
en,united
en,in
en,the
en,than
en,although
en,political
en,democratic
en,their
en,leadership
en,were
en,struggle
en,come
en,respectively
en,front
en,congress
en,in
en,evidence
en,member
en,that
en,protection
en,by
en,were
en,congress
en,however
en,early
en,taking
en,at
en,because
en,a
en,close
en,were
en,side
en,be
en,the
en,the
en,their
en,of
en,kwazulu
en,within
en,'kwazulu'
en,and
en,initially
en,province
en,the
en,all
en,south
en,thus
en,it
en,campaigned
en,the
en,sometimes
en,and
en,in
en,particular
en,and
en,eleventh
en,of
en,an
en,a
en,autonomous
en,african
en,goodwill
en,zwelethini
en,in
en,and
en,opposing
en,a
en,the
en,regarding
en,to
en,legislature
en,of
en,zulu
en,it
en,party
en,necessity
en,official
en,proposed
en,party
en,inclusion
en,from
en,violent
en,abstained
en,were
en,group
en,once
en,opposition
en,however
en,other
en,the
en,inkatha
en,and
en,a
en,however
en,provincial
en,of
en,attempted
en,bloodshed
en,province
en,for
en,formerly
en,during
en,and
en,the
en,they
en,the
en,in
en,inkatha
en,obvious
en,provincial
en,back
en,th
en,party's
en,would
en,that
en,ifp
en,buthelezi
en,in
en,election
en,the
en,of
en,velenkosini
en,kwazulu
en,natal
en,intention
en,it
en,he
en,october
en,ifp
en,party's
en,legislature
en,in
en,official
en,of
en,hlabisa
en,wa
en,to
en,general
en,pledged
en,the
en,at
en,hlabisa
en,conference
en,of
en,a
en,leader
en,municipality
en,became
en,national
en,party
en,a
en,at
en,the
en,leader
en,down
en,mayor
en,extended
en,wa
en,opposition
en,announced
en,won
en,support
en,national
en,the
en,leader
en,conference
en,he
en,it
en,succeed
en,candidate
en,step
en,in
en,big
en,the
en,leader
en,the
en,of
en,local
en,opposition
en,in
en,five
en,a
en,twenty
en,seat
en,freedom
en,did
en,made
en,use
en,own
en,not
en,portfolio
en,to
en,could
en,other
en,gnu
en,thus
en,member
en,assembly
en,two
en,invited
en,the
en,the
en,seat
en,join
en,even
en,they
en,form
en,for
en,of
en,in
en,of
en,african
en,leader
en,other
en,party
en,of
en,chief
en,though
en,the
en,parliament
en,provision
en,the
en,government
en,in
en,for
en,the
en,nelson
en,protest
en,campaign
en,the
en,seditious
en,mvezo
en,the
en,law
en,sizwe
en,prominence
en,by
en,and
en,marxism
en,politics
en,the
en,the
en,the
en,in
en,unsuccessfully
en,communist
en,university
en,co
en,founding
en,thembu
en,the
en,defiance
en,a
en,for
en,and
en,sentenced
en,and
en,imprisonment
en,in
en,of
en,arrested
en,president
en,congress
en,of
en,anc
en,league
en,the
en,union
en,treason
en,conspiring
en,after
en,trial
en,life
en,prosecuted
en,nationalist
en,it
en,in
en,in
en,initially
en,joining
en,themselves
en,non
en,violent
en,committed
en,arrested
en,of
en,and
en,privileged
en,in
en,the
en,a
en,the
en,african
en,royal
en,university
en,studied
en,and
en,that
en,of
en,a
en,established
en,militant
en,he
en,government
en,he
en,for
en,white
en,only
en,sacp
en,youth
en,at
en,the
en,involved
en,government
en,rising
en,joined
en,hare
en,committed
en,apartheid
en,repeatedly
en,to
en,led
en,witwatersrand
en,influenced
en,mandela
en,family
en,of
en,national
en,and
en,subsequently
en,the
en,south
en,wa
en,to
en,lawyer
en,branch
en,to
en,fort
en,system
en,he
en,umkhonto
en,there
en,co
en,founded
en,wa
en,between
en,island
en,domestic
en,reform
en,healthcare
en,a
en,he
en,pan
en,on
en,a
en,split
en,elder
en,to
en,in
en,and
en,served
en,leading
en,truth
en,it
en,president
en,which
en,liberal
en,prison
en,war
en,racial
en,prison
en,belief
en,and
en,coalition
en,declined
en,which
en,secretary
en,general
en,and
en,a
en,an
en,election
en,growing
en,introducing
en,by
en,mandela
en,and
en,and
en,became
en,mandela
en,served
en,charitable
en,him
en,expand
en,and
en,with
en,trial
en,robben
en,the
en,anc
en,klerk
en,a
en,de
en,emphasised
en,apartheid
en,mandela
en,succeeded
en,land
en,and
en,framework
en,flight
en,and
en,past
en,through
en,mandela
en,investigate
en,the
en,reconciliation
en,led
en,led
en,to
en,to
en,own
en,to
en,multiracial
en,international
en,he
en,commission
en,measure
en,klerk
en,combating
en,of
en,racial
en,focused
en,also
en,pressure
en,president
en,and
en,created
en,administration
en,the
en,government
en,the
en,pollsmoor
en,and
en,group
en,a
en,country's
en,year
en,in
en,and
en,mandela
en,fear
en,deputy
en,amid
en,predecessor's
en,became
en,w
en,
en,who
en,student
en,against
en,involved
en,the
en,the
en,congress
en,africa
en,any
en,dancing
en,at
en,degree
en,he
en,community
en,src
en,
en,african
en,first
en,year
en,second
en,year
en,gave
en,in
en,in
en,of
en,elite
en,students'
en,mandela
en,of
en,a
en,decade
en,black
en,who
en,university
en,on
en,second
en,association
en,society
en,of
en,a
en,for
en,law
en,connected
en,or
en,interpreter
en,in
en,matanzima
en,
en,and
en,a
en,empire
en,became
en,work
en,fort
en,returned
en,end
en,around
en,house
en,involvement
en,befriending
en,to
en,lincoln
en,
en,of
en,house
en,wesley
en,year
en,ba
en,he
en,when
en,jongintaba's
en,had
en,food
en,challenged
en,an
en,part
en,in
en,d
en,
en,the
en,he
en,in
en,anthropology
en,to
en,stayed
en,up
en,avoided
en,he
en,with
en,out
en,year
en,dominance
en,the
en,of
en,about
en,committee
en,cape
en,and
en,a
en,the
en,close
en,with
en,began
en,wanted
en,a
en,south
en,in
en,took
en,play
en,suspended
en,friend
en,the
en,bible
en,tambo
en,the
en,comrade
en,class
en,university
en,a
en,department
en,performed
en,council
en,politics
en,broke
en,march
en,because
en,against
en,executive
en,call
en,increased
en,bringing
en,the
en,anc
en,communism
en,black
en,convention
en,all
en,in
en,march
en,on
en,the
en,the
en,he
en,december
en,introduction
en,part
en,held
en,opposed
en,against
en,and
en,worker
en,in
en,suppression
en,of
en,police
en,outvoted
en,of
en,indian
en,strike
en,not
en,mandela
en,repression
en,arguing
en,together
en,speech
en,of
en,activist
en,wa
en,the
en,national
en,it
en,front
en,and
en,protest
en,defend
en,in
en,united
en,action
en,year
en,of
en,free
en,but
en,minority
en,anc
en,led
en,the
en,elected
en,to
en,african
en,mandela
en,national
en,multi
en,racial
en,conference
en,affecting
en,may
en,johannesburg
en,day
en,of
en,wa
en,protest
en,the
en,that
en,general
en,group
en,same
en,resulting
en,and
en,white
en,in
en,president
en,strike
en,continued
en,communist
en,of
en,at
en,and
en,national
en,took
en,apartheid
en,the
en,majority
en,a
en,a
en,xuma's
en,and
en,but
en,wa
en,free
en,defend
en,opposed
en,at
en,activist
en,in
en,day
en,ancyl
en,minority
en,increased
en,wa
en,johannesburg
en,action
en,december
en,held
en,against
en,place
en,elected
en,rule
en,of
en,communism
en,national
en,communist
en,strike
en,affecting
en,suppression
en,strike
en,in
en,anc
en,multi
en,racial
en,wa
en,the
en,took
en,all
en,xuma's
en,arguing
en,same
en,the
en,national
en,wa
en,wa
en,and
en,introduction
en,resulting
en,bringing
en,not
en,a
en,anc
en,led
en,white
en,the
en,march
en,took
en,mandela
en,that
en,of
en,year
en,but
en,mandela
en,of
en,worker
en,anc
en,on
en,police
en,group
en,in
en,call
en,racially
en,and
en,protest
en,and
en,convention
en,to
en,front
en,
en,continued
en,african
en,conference
en,apartheid
en,the
en,he
en,of
en,repression
en,a
en,and
en,together
en,the
en,president
en,a
en,indian
en,of
en,in
en,united
en,the
en,the
en,but
en,general
en,executive
en,protest
en,national
en,in
en,and
en,the
en,against
en,pro
en,democratic
en,russia
en,his
en,the
en,crimean
en,sent
en,russia
en,he
en,with
en,career
en,a
en,concurrently
en,misused
en,london
en,
en,personal
en,united
en,wa
en,union
en,appleton
en,retirement
en,for
en,evergreen
en,in
en,of
en,appointed
en,the
en,portland's
en,state
en,returned
en,united
en,position
en,held
en,a
en,he
en,end
en,and
en,but
en,the
en,prospective
en,to
en,in
en,fourth
en,state
en,in
en,states'
en,to
en,the
en,died
en,state
en,regarding
en,war
en,the
en,to
en,editor
en,gain
en,
en,and
en,promote
en,interest
en,on
en,this
en,buried
en,from
en,he
en,secretary
en,a
en,wa
en,for
en,wa
en,following
en,england
en,tennessee
en,describing
en,alongside
en,to
en,state
en,the
en,urban
en,almost
en,offer
en,close
en,fought
en,endorsement
en,north
en,culture
en,join
en,abiding
en,such
en,in
en,interest
en,president's
en,is
en,and
en,the
en,the
en,criticized
en,it
en,a
en,a
en,union
en,a
en,today
en,
en,appleton's
en,includes
en,act
en,described
en,goodwill
en,appleton's
en,volume
en,race
en,spartan
en,legal
en,which
en,george
en,role
en,a
en,war
en,
en,united
en,greatness
en,for
en,polk's
en,from
en,commercialism
en,largest
en,democratic
en,culminating
en,region's
en,accepted
en,to
en,practice
en,party
en,record
en,spirit
en,inauguration
en,city
en,be
en,became
en,disapproval
en,in
en,politics
en,in
en,his
en,and
en,northeastern
en,permitted
en,published
en,to
en,while
en,art
en,northeastern
en,with
en,polk
en,personal
en,k
en,the
en,clerk
en,a
en,bancroft
en,not
en,state
en,in
en,diarist
en,appleton's
en,tour
en,visit
en,invitation
en,industry
en,boston
en,having
en,page
en,the
en,would
en,governor
en,place
en,polk
en,the
en,it
en,by
en,transportation
en,college
en,is
en,london
en,measured
en,ha
en,a
en,higher
en,ha
en,development
en,ultra
en,influential
en,in
en,rank
en,largest
en,arrival
en,education
en,science
en,expensive
en,service
en,modern
en,school
en,hosted
en,london's
en,london
en,largest
en,considered
en,most
en,popular
en,for
en,work
en,london
en,and
en,london
en,is
en,of
en,college
en,traffic
en,the
en,medium
en,considerable
en,natural
en,and
en,it
en,leading
en,been
en,game
en,
en,professional
en,investment
en,in
en,any
en,area
en,busiest
en,of
en,in
en,most
en,city
en,and
en,upon
en,the
en,investment
en,friendly
en,gdp
en,note
en,for
en,have
en,hosting
en,metropolitan
en,airport
en,home
en,olympic
en,imperial
en,city
en,the
en,first
en,and
en,largest
en,international
en,finance
en,the
en,world's
en,th
en,is
en,most
en,city
en,economic
en,city
en,the
en,university
en,became
en,most
en,visited
en,called
en,london
en,and
en,university
en,is
en,and
en,than
en,destination
en,centre
en,and
en,research
en,to
en,major
en,tourism
en,and
en,institute
en,most
en,fifth
en,europe
en,more
en,a
en,and
en,highly
en,it
en,such
en,world's
en,college
en,the
en,desirable
en,powerful
en,be
en,one
en,while
en,london
en,of
en,central
en,a
en,governmental
en,for
en,in
en,government
en,this
en,revolt
en,moved
en,administration
en,the
en,of
en,to
en,it
en,in
en,the
en,peasants'
en,london
en,had
en,in
en,form
en,increasingly
en,sophistication
en,treasury
en,around
en,fixed
en,city
en,disaster
en,and
en,death
en,the
en,corporation
en,a
en,when
en,capital
en,wa
en,term
en,tower
en,
en,flourished
en,under
en,the
en,the
en,came
en,english
en,been
en,nearly
en,became
en,own
en,to
en,the
en,grown
en,in
en,city
en,westminster
en,true
en,moved
en,it
en,centre
en,largest
en,city
en,royal
en,and
en,rest
en,it
en,institution
en,royal
en,in
en,winchester
en,population
en,the
en,the
en,the
en,the
en,grew
en,in
en,lost
en,westminster
en,size
en,from
en,having
en,corn
en,of
en,coffeehouse
en,london
en,and
en,became
en,london
en,mystery
en,with
en,the
en,a
en,british
en,debate
en,a
en,especially
en,wa
en,the
en,london
en,international
en,london
en,a
en,economic
en,the
en,became
en,centre
en,centre
en,issue
en,clarification
en,around
en,a
en,the
en,fleet
en,in
en,invasion
en,popular
en,acting
en,many
en,to
en,and
en,dutch
en,in
en,wa
en,a
en,home
en,man
en,by
en,and
en,amsterdam
en,became
en,development
en,one
en,only
en,deterrent
en,to
en,international
en,news
en,royal
en,printing
en,since
en,series
en,literacy
en,ha
en,time
en,law
en,street
en,same
en,available
en,world's
en,the
en,fleet
en,murder
en,jewish
en,the
en,by
en,leading
en,tier
en,london
en,and
en,borough
en,and
en,local
en,smaller
en,a
en,through
en,and
en,ha
en,billion
en,by
en,proposal
en,revenue
en,over
en,mayor's
en,road
en,which
en,citywide
en,PS
en,by
en,the
en,sadiq
en,for
en,carried
en,western
en,been
en,london
en,arrangement
en,
en,is
en,local
en,planning
en,london
en,gla
en,the
en,gla
en,by
en,revised
en,the
en,gla
en,school
en,a
en,administration
en,wa
en,the
en,and
en,just
en,in
en,they
en,accept
en,while
en,planning
en,authority
en,southwark
en,is
en,strategic
en,are
en,hall
en,is
en,power
en,and
en,PS
en,local
en,the
en,billion
en,khan
en,PS
en,the
en,capital
en,out
en,london
en,of
en,of
en,to
en,authority
en,such
en,mayor
en,most
en,council
en,mayor's
en,component
en,service
en,each
en,mayor's
en,is
en,decision
en,reject
en,london
en,service
en,witness
en,we
en,and
en,aforesaid
en,guarantee
en,tenure
en,by
en,which
en,said
en,heir
en,demanded
en,guarantee
en,and
en,of
en,the
en,on
en,and
en,it
en,annually
en,the
en,for
en,michaelmas
en,for
en,when
en,mark
en,besides
en,they
en,for
en,our
en,ordered
en,deed
en,all
en,this
en,of
en,which
en,u
en,canon
en,this
en,and
en,will
en,time
en,of
en,at
en,guarantee
en,behalf
en,our
en,to
en,the
en,at
en,at
en,every
en,we
en,pay
en,the
en,wheresoever
en,render
en,the
en,our
en,year
en,undertaken
en,of
en,year
en,silver
en,the
en,canon
en,aforesaid
en,the
en,on
en,part
en,concerning
en,mark
en,have
en,aforesaid
en,and
en,part
en,church
en,under
en,english
en,english
en,the
en,trial
en,ended
en,consolidated
en,outcome
en,the
en,briefly
en,in
en,worship
en,of
en,monarch
en,protectorate
en,of
en,replacement
en,only
en,the
en,in
en,constitutionally
en,while
en,england
en,first
en,an
en,execution
en,the
en,legally
en,the
en,established
en,wa
en,the
en,glorious
en,charles
en,with
en,at
en,a
en,the
en,personal
en,english
en,parliamentary
en,never
en,war
en,ii
en,established
en,the
en,of
en,the
en,the
en,the
en,the
en,revolution
en,executed
en,consent
en,then
en,govern
en,commonwealth
en,cannot
en,without
en,ascendancy
en,england
en,protestant
en,the
en,of
en,that
en,of
en,oliver
en,his
en,and
en,the
en,his
en,created
en,war
en,went
en,lambert
en,english
en,a
en,presided
en,and
en,in
en,no
en,civil
en,wa
en,then
en,in
en,although
en,his
en,he
en,rump
en,returned
en,restoration
en,the
en,of
en,safety
en,resignation
en,living
en,a
en,his
en,the
en,prevented
en,away
en,by
en,descendant
en,scotland
en,to
en,relative
en,of
en,for
en,troop
en,from
en,life
en,and
en,the
en,recalled
en,elected
en,petty
en,marquess
en,century
en,and
en,peer
en,like
en,from
en,wa
en,and
en,the
en,the
en,late
en,nor
en,the
en,themselves
en,whig
en,th
en,development
en,of
en,the
en,william
en,wa
en,townshend
en,of
en,such
en,some
en,including
en,to
en,of
en,younger
en,pittite
en,division
en,the
en,whig
en,party
en,passed
en,a
en,appearance
en,gibbs
en,th
en,pittite
en,a
en,the
en,henry
en,euston
en,prominent
en,early
en,sir
en,a
en,time
en,the
en,younger
en,be
en,this
en,member
en,granby
en,of
en,university
en,university
en,croftes
en,vicary
en,he
en,political
en,typical
en,hon
en,william
en,century
en,a
en,the
en,parliament
en,distinguished
en,and
en,grey
en,
en,independent
en,today
en,france
en,empire
en,war
en,one
en,the
en,wa
en,war
en,which
en,empire
en,century
en,de
en,came
en,europe
en,
en,axis
en,of
en,war
en,established
en,republic
en,war
en,the
en,and
en,the
en,remains
en,and
en,participant
en,france
en,in
en,the
en,algeria
en,culminating
en,charles
en,following
en,the
en,victorious
en,in
en,connection
en,republic
en,of
en,most
en,under
en,took
en,wa
en,third
en,continental
en,and
en,first
en,from
en,established
en,world
en,economic
en,s
en,ally
en,following
en,major
en,emerged
en,it
en,of
en,in
en,a
en,retaining
en,the
en,napoleon
en,occupation
en,power
en,later
en,collapse
en,and
en,world
en,led
en,his
en,german
en,part
en,ad
en,the
en,reunified
en,state
en,th
en,holy
en,before
en,state
en,by
en,the
en,ii
en,and
en,the
en,seizure
en,wa
en,formed
en,of
en,in
en,wa
en,state
en,the
en,central
en,revolution
en,various
en,during
en,
en,into
en,the
en,named
en,the
en,northern
en,germany
en,and
en,led
en,empire
en,in
en,the
en,of
en,a
en,confederation
en,a
en,ii
en,of
en,of
en,germany
en,war
en,i
en,and
en,the
en,power
en,nation
en,the
en,nazi
en,a
en,after
en,a
en,century
en,replaced
en,of
en,a
en,wa
en,of
en,community
en,modern
en,of
en,the
en,became
en,of
en,the
en,the
en,is
en,pursues
en,founding
en,of
en,or
en,not
en,the
en,armed
en,burgundy
en,european
en,in
en,nation
en,series
en,success
en,world
en,document
en,policy
en,since
en,from
en,cross
en,association
en,and
en,wa
en,best
en,the
en,and
en,but
en,organisation
en,it
en,
en,fought
en,however
en,military
en,peace
en,austria
en,eurozone
en,market
en,maintained
en,a
en,the
en,of
en,second
en,oldest
en,of
en,to
en,the
en,in
en,of
en,which
en,area
en,it
en,involved
en,the
en,organisation
en,to
en,swiss
en,independence
en,the
en,th
en,united
en,the
en,the
en,an
en,and
en,from
en,of
en,union
en,and
en,federal
en,neutrality
en,medieval
en,is
en,did
en,against
en,norway
en,than
en,denmark
en,rainfall
en,such
en,northerly
en,other
en,total
en,freezing
en,some
en,strait
en,mi
en,climate
en,during
en,of
en,border
en,kilometre
en,area
en,the
en,to
en,south
en,lowland
en,influence
en,coast
en,also
en,the
en,maritime
en,or
en,extensive
en,and
en,is
en,ha
en,latitude
en,and
en,lot
en,ocean
en,sea
en,high
en,a
en,colder
en,also
en,commonplace
en,an
en,even
en,country
en,
en,world
en,sweden
en,snowfall
en,maritime
en,august
en,a
en,sq
en,the
en,the
en,to
en,mi
en,on
en,the
en,while
en,on
en,the
en,norway's
en,on
en,country
en,the
en,mild
en,north
en,with
en,facing
en,on
en,above
en,norway
en,form
en,a
en,ground
en,poetry
en,latin
en,norseman
en,on
en,a
en,the
en,of
en,any
en,and
en,lake
en,the
en,other
en,by
en,and
en,presence
en,originated
en,runic
en,ha
en,among
en,wa
en,and
en,myrvoll
en,used
en,attestation
en,and
en,in
en,in
en,the
en,another
en,route
en,is
en,wa
en,in
en,the
en,early
en,norwegian
en,due
en,name
en,the
en,the
en,very
en,county
en,the
en,component
en,it
en,since
en,also
en,to
en,in
en,not
en,view
en,and
en,various
en,nore
en,in
en,land
en,nordrmadr
en,and
en,meaning
en,would
en,student
en,english
en,is
en,a
en,a
en,form
en,buskerud
en,of
en,and
en,theory
en,first
en,ethnonym
en,nordr
en,to
en,same
en,inscription
en,halvorsen
en,latin
en,norse
en,village
en,been
en,this
en,favour
en,nuruiak
en,in
en,modern
en,tronnes
en,the
en,out
en,nuriki
en,person
en,such
en,earliest
en,attested
en,philologist
en,still
en,or
en,vowel
en,pointed
en,narrow
en,the
en,sailing
en,meaning
en,northern
en,reflected
en,other
en,interpretation
en,element
en,the
en,a
en,of
en,it
en,attestation
en,philology
en,way
en,
en,to
en,since
en,a
en,preserved
en,but
en,introduced
en,ha
en,early
en,of
en,wheatstone
en,the
en,the
en,published
en,and
en,the
en,bioscope
en,one
en,be
en,success
en,either
en,period
en,in
en,such
en,to
en,capture
en,that
en,invention
en,use
en,created
en,photographic
en,first
en,by
en,he
en,advent
en,complete
en,duboscq
en,in
en,instrument
en,photograph
en,the
en,about
en,combined
en,a
en,interest
en,posed
en,to
en,and
en,photographic
en,machine
en,no
en,a
en,to
en,a
en,ha
en,sculpture
en,of
en,and
en,it
en,the
en,needed
en,plateau
en,photograph
en,s
en,failure
en,wa
en,moving
en,mean
en,different
en,phenakisticope
en,advertised
en,wa
en,idea
en,the
en,instrument
en,joseph
en,type
en,kodak's
en,tripack
en,are
en,being
en,film
en,film
en,used
en,these
en,is
en,often
en,they
en,for
en,version
en,with
en,usually
en,integral
en,negative
en,s
en,introduced
en,which
en,were
en,coated
en,meant
en,these
en,wa
en,commercial
en,were
en,warnercolor
en,emulsion
en,
en,by
en,and
en,film
en,and
en,it
en,film
en,around
en,production
en,first
en,but
en,the
en,came
en,this
en,in
en,trade
en,photographic
en,were
en,of
en,use
en,three
en,were
en,made
en,color
en,the
en,the
en,in
en,is
en,but
en,processor
en,
en,in
en,studio
en,the
en,motion
en,film
en,home
en,modified
en,movie
en,eastman
en,film
en,u
en,intended
en,wa
en,the
en,an
en,tend
en,copper
en,which
en,is
en,of
en,because
en,is
en,exception
en,plating
en,are
en,metal
en,during
en,higher
en,to
en,resistance
en,d
en,and
en,pure
en,preceding
en,because
en,improves
en,a
en,not
en,of
en,used
en,of
en,ii
en,high
en,contact
en,particularly
en,metal
en,with
en,for
en,electrical
en,allotrope
en,silver
en,occur
en,common
en,metal
en,electrical
en,superfluid
en,any
en,higher
en,vhf
en,current
en,in
en,the
en,the
en,world
en,interaction
en,used
en,higher
en,conductivity
en,element
en,wartime
en,single
en,in
en,the
en,carbon
en,the
en,is
en,property
en,copper
en,than
en,the
en,subshell
en,engineering
en,of
en,uranium
en,the
en,of
en,frequency
en,in
en,were
en,effect
en,effect
en,nuclear
en,of
en,number
en,element
en,atom
en,although
en,the
en,with
en,over
en,lightest
en,concept
en,it
en,an
en,in
en,ha
en,the
en,for
en,on
en,only
en,carbon
en,strongly
en,originally
en,the
en,specific
en,a
en,case
en,most
en,or
en,chemical
en,number
en,the
en,property
en,enough
en,property
en,in
en,nuclides
en,lightest
en,for
en,most
en,doe
en,the
en,in
en,element
en,of
en,all
en,specie
en,neutron
en,over
en,grouping
en,comparison
en,even
en,the
en,of
en,to
en,term
en,a
en,sometimes
en,where
en,chemical
en,usually
en,but
en,negligible
en,imply
en,is
en,number
en,element
en,now
en,isotope
en,ha
en,each
en,emphasizes
en,neutron
en,the
en,first
en,wall
en,the
en,were
en,cathode
en,ray
en,before
en,created
en,of
en,tube
en,tube
en,anywhere
en,radiation
en,electron
en,created
en,energetic
en,the
en,below
en,produced
en,researcher
en,few
en,they
en,of
en,high
en,in
en,when
en,they
en,in
